"workerid","time"
0,"""2.5061666666666667"""
1,"""3.70675"""
2,"""3.5711833333333334"""
3,"""5.112433333333334"""
4,"""3.4869333333333334"""
5,"""7.019033333333334"""
6,"""11.895416666666666"""
7,"""6.8274"""
8,"""3.5271"""
9,"""2.945533333333333"""
10,"""3.59005"""
11,"""6.62325"""
12,"""8.297783333333333"""
13,"""2.619"""
14,"""7.456833333333333"""
15,"""5.940566666666666"""
16,"""3.6036"""
17,"""15.023866666666667"""
18,"""4.504866666666667"""
19,"""9.99475"""
20,"""9.3662"""
21,"""14.193866666666667"""
22,"""15.026316666666666"""
23,"""6.4846"""
24,"""4.133366666666666"""
25,"""10.171283333333333"""
26,"""6.482666666666667"""
27,"""4.315416666666667"""
28,"""9.100816666666667"""
29,"""5.2283333333333335"""
30,"""3.5829333333333335"""
31,"""6.199116666666667"""
32,"""4.3024"""
33,"""4.203533333333334"""
34,"""3.9794"""
35,"""4.736016666666667"""
36,"""6.194516666666667"""
37,"""5.8578833333333336"""
38,"""9.169566666666666"""
39,"""6.263933333333333"""
40,"""3.7024833333333333"""
41,"""13.488383333333333"""
42,"""5.01845"""
43,"""8.42505"""
44,"""5.985033333333333"""
45,"""7.959666666666666"""
46,"""10.026883333333334"""
47,"""5.3851"""
48,"""7.353116666666667"""
49,"""3.8687"""
50,"""4.049283333333333"""
51,"""3.4869333333333334"""
52,"""3.7836"""
53,"""3.6637"""
54,"""4.6129"""
55,"""5.555316666666666"""
56,"""6.790316666666667"""
57,"""4.579283333333334"""
58,"""5.6312"""
59,"""2.8042833333333332"""
60,"""3.6830666666666665"""
61,"""4.77565"""
62,"""11.750233333333334"""
63,"""4.313616666666666"""
64,"""7.3873"""
65,"""9.988183333333334"""
66,"""3.0549166666666667"""
67,"""8.985416666666667"""
68,"""4.483"""
69,"""5.464083333333333"""
70,"""6.427983333333334"""
71,"""6.138316666666666"""
72,"""5.21055"""
73,"""4.5395"""
74,"""11.135266666666666"""
75,"""3.7973333333333334"""
76,"""5.385683333333334"""
77,"""20.319183333333335"""
78,"""4.274166666666667"""
79,"""7.037433333333333"""
80,"""3.9109166666666666"""
