,NPs_SG,Frequencies_SG
0,classroom,20279319
1,statue,4753368
2,platinum,15501355
3,bronze,9903500
4,auditorium,4248177
5,bird,29443460
6,baby,117716269
7,chocolate,23380830
8,floor,53763234
9,walker,14809346
10,animal,62579572
11,adult,97585771
12,liquor,4727755
13,sweet,32335039
14,crow,4603692
15,winter day,101658
16,hurricane,16759342
17,dog,77282721
18,wine,58493416
19,carpet,12309442
20,tile,8516834
21,highway,23630418
22,time,908735995
23,cavern,1364330
24,dusk,1902302
25,seagull,735268
26,food,180152837
27,beer,20488618
28,marshmallow,435955
29,elephant,6116985
30,side road,70464
31,plant,53249198
32,rain,26429782
33,cat,46849873
34,night,130549439
35,season,76447399
36,fish,52768568
37,thunderstorm,1002030
38,chihuahua,1399606
39,novel,21821672
40,flower,33373457
41,ice cream,6277647
42,hole,26202887
43,teenager,3025962
44,soup,10543534
45,dachshund,722619
46,salad,8924350
47,cheetah,1117664
48,decoration,4702490
49,road,131806092
50,wood,51133768
51,study hall,139596
52,sloth,519816
53,fox hole,21463
54,day,446243266
55,poem,8910539
56,fall day,47405
57,jolly rancher,29526
58,alcoholic drink,158194
59,people,480323270
60,bassett,1143338
61,bottle of wine,373243
62,tree,59627239
63,giraffe,978966
64,street,149137640
65,summer day,334257
66,story,138440672
68,monkey,9992262
69,parrot,2682859
70,ice cream,6277647
71,studyhall,5389
72,downtown street,19163
73,jockey,2544228
74,donkey,2821287
75,bush,71300864
76,mouse,33668364
77,runner,7381418
78,child,119753056
79,reading,95293931
80,athlete,4918312
81,room,176313286
82,kid,22023401
84,jogger,677597
85,storm,22249642
86,cave,7669404
87,basketball player,314610
88,golfer,1508058
89,plastic,35423760
